nombre_empresa,rut,confianza_rut,telefono,email,instagram,facebook,tiktok,otras_redes,rubro,comuna,region,direccion,tiene_sitio_web,confianza_overture,fuente
Zeus Electricidad,77.979.726-0,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56968218317,robert.telias.zeus@gmail.com,,https://www.facebook.com/423412170857452,,,hardware store,Coyhaique,,Calle Pedro Aguirre Cerda 628,no,0.293,https://explore.overturemaps.org/#e6a1b9c8-a278-408c-ad1b-ad802b2efe03
Explora patagonía,78.004.184-6,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56942849933,rvillacoyhaique@gmail.com,,https://www.facebook.com/786820681328461,,,tour operator,Coyhaique,,5951238,no,0.243,https://explore.overturemaps.org/#45280b8e-b0cf-4362-a263-a262edfa5c9e
Centro Integral Arrebol,77.787.091-2,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56966297376,centrointegralarrebol@gmail.com,,https://www.facebook.com/227296177127111,,,occupational safety,Coyhaique,,Calle 21 de Mayo 1071,no,0.65,https://explore.overturemaps.org/#f5708aea-8872-40eb-9132-ccf2f2b7a7b6
House of Dreams,77.526.533-7,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56995060304,hodpatagonia@gmail.com,,https://www.facebook.com/1547472245525141,,,event or party service,Coyhaique,,Calle Las Quintas 69,no,0.641,https://explore.overturemaps.org/#b1ebd237-ca91-4404-8b4f-39b46c1b48f9
Super Altiro,77.815.918-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56933992268,admin@superaltiro.cl,,https://www.facebook.com/135021416361653,,,grocery store,Coyhaique,,Calle Victoria 695,no,0.627,https://explore.overturemaps.org/#62e400a6-376f-4345-8095-ca6d5027e9ec
Casita Terapéutica,77.880.877-3,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56992476204,administracion@casitaterapeutica.com,,https://www.facebook.com/202821186246693,,,,Coyhaique,,Calle Max Casas 357,no,0.224,https://explore.overturemaps.org/#7616fc98-f294-48d1-bf87-011a8c5cecca
Panaderia pan de vida,77.831.671-4,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56990699974,elmercay@gmail.com,,https://www.facebook.com/125331407339308,,,bakery,Coyhaique,,Avenida Gastón Adame 641,no,0.79,https://explore.overturemaps.org/#6889836f-4bfb-4c9f-b7e7-c6532267b6e0
Mecanicasur Coyhaique,77.995.623-7,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56999916316,jvmecanicasur@gmail.com,,https://www.facebook.com/705919129261360,,,automotive repair,Coyhaique,,México 1605,no,0.243,https://explore.overturemaps.org/#648dc156-1eea-4a13-b57f-9d52178f8637
Clínica Dental Ganz,77.910.339-0,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56944930112,dra.soniaganz@gmail.com,,https://www.facebook.com/103534037692924,,,health care,Talca,,,no,0.57,https://explore.overturemaps.org/#d444931e-462d-4c4f-a33b-4a40c6281721
Agrícola de la tierra,77.318.244-2,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56955318323,agricoladelatierra@gmail.com,,https://www.facebook.com/100181032171589,,,agricultural service,Coyhaique,,5950000,no,0.306,https://explore.overturemaps.org/#398b2f47-8962-40c7-b369-4088c3ad1ca3
Artesanías lerun spa,77.456.812-3,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56957098132,artesaniaslerunchilechico@gmail.com,,https://www.facebook.com/105137498115881,,,arts crafts and hobby store,Chile Chico,,Calle aiken 918,no,0.566,https://explore.overturemaps.org/#1e80b074-177c-483e-ba44-c9ef198b104e
Maderas Puerto Nuevo,77.540.536-8,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56972190525,maderaspuertonuevo@gmail.com,,https://www.facebook.com/101464125847290,,,,La Unión,,Camino vecinal detras del colegio puerto nuevo,no,0.573,https://explore.overturemaps.org/#c74c81fa-060c-45c6-8ade-8e08f92c13bf
Mecánica General Futrono,77.501.663-9,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56632556121,mecanica.generalfutrono7@gmail.com,,https://www.facebook.com/103637589288710,,,automotive repair,Futrono,,Cun-Cun s/n,no,0.557,https://explore.overturemaps.org/#6b1c0b24-4e64-4961-a9d5-e245422d8982
El gran Toribio,77.740.013-4,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56997179463,elgrantoribiofutrono@gmail.com,,https://www.facebook.com/114142454961197,,,fast food restaurant,Futrono,,Calle Padre Leodegario 185,no,0.429,https://explore.overturemaps.org/#9e3f4400-ad17-4b12-817a-a1d559b4c9ef
Camping Los Manzanos,77.506.798-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56999315229,campinglosmanzanosspa@gmail.com,,https://www.facebook.com/101594589111707,,,campground,Lago Ranco,,Camino a playa Epulafquén,no,0.865,https://explore.overturemaps.org/#b801bacf-70a1-4245-ab88-8359f373e43b
Panadería Lara,77.823.906-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56984143089,panaderialara2@gmail.com,,https://www.facebook.com/113013311889154,,,bakery,Villarrica,,Calle General Urrutia 745,no,0.71,https://explore.overturemaps.org/#d28ec7c1-377e-4b22-80da-6aa1c60a968b
Cabañas Pilmayquen,78.051.705-0,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56993972712,jmenesesg3@icloud.com,,https://www.facebook.com/1802046473421973,,,professional service,Villarrica,,Villa el Carmen,no,0.771,https://explore.overturemaps.org/#df3831b3-12f2-4f43-aab8-4c9088ea22ff
Ferretería D y D,77.149.067-0,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56948873227,ferreteriasdyd@gmail.com,,https://www.facebook.com/111636773865540,,,hardware store,Villarrica,,"Lican Ray, 4930000 Villarrica, Araucanía, República de Chile",no,0.573,https://explore.overturemaps.org/#d78b81b4-67d1-4a74-819e-8e8e6d4ceb0d
Restaurant Bungaloo,77.385.994-9,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56975298776,restauranbungaloo@gmail.com,,https://www.facebook.com/100790915659571,,,restaurant,Villarrica,,Calle Cacique Manquel 135,no,0.859,https://explore.overturemaps.org/#83607767-7301-48cf-a0be-2f8726b9bd75
Ferretería Tralcapulli,77.640.672-4,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56985499617,ferreteriatralcapulli@gmail.com,,https://www.facebook.com/105953841790585,,,hardware store,Panguipulli,,Tralcapulli s/n,no,0.743,https://explore.overturemaps.org/#9169e9ec-7316-44de-84c3-979e58f21e90
Taller OKA,78.193.432-1,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56950195095,omarpinovillarrica@gmail.com,,https://www.facebook.com/101380834731719,,,automotive repair,Villarrica,,S-807 2260,no,0.923,https://explore.overturemaps.org/#a0b53b48-f9af-4634-bd4b-d98c34dce3f6
Funeraria Pulgar,78.416.437-3,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56632311276,alvaropulgar70@gmail.com,,https://www.facebook.com/101373221961640,,,funeral service,Panguipulli,,Calle Bernardo O'Higgins 1254,no,0.859,https://explore.overturemaps.org/#7bfdeb51-6262-4e08-b531-cfadd581b7c9
Sublimación e Impresiones Marty,76.971.318-2,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56965379535,sublimacioneimpresionesmarty@gmail.com,,https://www.facebook.com/1971679439527336,,,shopping,Panguipulli,,Calle 21 de Mayo 31,no,0.704,https://explore.overturemaps.org/#4f39be31-7815-4e15-aadf-c7476d3cbd08
Agropangui,77.459.711-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56632311321,agropangui2@gmail.com,,https://www.facebook.com/102746428066825,,,pet store,Panguipulli,,Calle Ramón Freire 140,no,0.536,https://explore.overturemaps.org/#143aaa0b-5a88-4c06-968e-d41319448bce
Las mil tentaciones,77.621.748-4,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56976449297,sol.alburquenque@gmail.com,,https://www.facebook.com/100327659634904,,,restaurant,Panguipulli,,Calle José Miguel Carrera 858,no,0.774,https://explore.overturemaps.org/#8de19388-edc5-4b72-94e0-4dc8648f1d66
Cesar Reyes Construcciones Spa,78.097.284-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56974146667,construccionescesarreyes@gmail.com,,https://www.facebook.com/510680732134484,,,building or construction service,Panguipulli,,Pasaje Enco 173,no,0.246,https://explore.overturemaps.org/#f3b32abb-ea8e-4f80-b896-0a5222968e7b
Huertos La Pellinada,77.385.551-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56945623101,huertoslapellinada@gmail.com,,https://www.facebook.com/109193051342366,,,agriculture,Los Lagos,,Pellinada Grande,no,0.576,https://explore.overturemaps.org/#2cf9c0f3-4165-4293-8313-4ad4f89488c4
Vitalis Clínica Odontologica,77.710.944-8,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56957006747,clinicaodontologicavitalis@gmail.com,,https://www.facebook.com/103583042668669,,,dental clinic,Lanco,,Gabriela Mistral 79,no,0.952,https://explore.overturemaps.org/#f872c425-f3ce-4f4c-a1d2-20b56ed52bb6
Winterhaus,77.211.155-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56940353487,cristina.winterhaus02@gmail.com,,https://www.facebook.com/100263532690839,,,shopping,Lanco,,Avenida Arturo Prat 356,no,0.208,https://explore.overturemaps.org/#9c67c53f-d746-4db0-bb5c-2c707d2351ee
Repuestos nine,78.219.237-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56971459609,repuestosnine@gmail.com,,https://www.facebook.com/104780211055209,,,auto parts store,Lanco,,Avenida Bernardo O'Higgins 541,no,0.684,https://explore.overturemaps.org/#0cd2fe58-d19c-45f8-a215-4ddbae677a64
Yafutuymün Gastronomía y Turismo,77.683.355-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56930816887,yafutuymun@gmail.com,,https://www.facebook.com/105495425074152,,,fast food restaurant,Loncoche,,,no,0.273,https://explore.overturemaps.org/#303ae4a2-716a-47fd-9b17-aeca500da986
Cabañas Ruka Etu,76.968.944-3,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56930565207,javiercontrerasnovoa@hotmail.com,,https://www.facebook.com/1958155497840301,,,hotel,Villarrica,,Unnamed Road,no,0.871,https://explore.overturemaps.org/#920a39c5-dd4d-4816-9b02-9ebf622245da
Chicken Box,77.637.345-1,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56989424070,chicken.adm22@gmail.com,,https://www.facebook.com/110153468516281,,,fast food restaurant,Padre Las Casas,,Los claveles #1380,no,0.677,https://explore.overturemaps.org/#d76b74e5-1d7e-48d1-80e5-6217d38c8e17
Gruas Tito Temuco,77.979.802-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56986911850,gruastitotemuco@gmail.com,,https://www.facebook.com/334910499710390,,,freight and cargo service,Padre Las Casas,,"Padre Las Casas, Camino huichahue km10",no,0.389,https://explore.overturemaps.org/#53018dfc-b52c-4e45-9cef-226bd06a6942
Distribuidora JM SPA,78.355.237-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56942877549,distribuidorajmspa@outlook.com,,https://www.facebook.com/1021778864350138,,,food beverage distributor,Padre Las Casas,,Carlos condell 395,no,0.223,https://explore.overturemaps.org/#a9492a77-7e12-4502-990d-31c63976283e
Araucadent,77.646.521-6,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56990826656,araucadent@gmail.com,,https://www.facebook.com/109351702053849,,,dental clinic,Padre Las Casas,,Av. Huichahue 186,no,0.911,https://explore.overturemaps.org/#8651486c-8e16-4712-a96d-c53a8b712fdc
Hojalateria Ltl,77.252.052-2,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56993278055,hojalaterialtl@gmail.com,,https://www.facebook.com/103779877882739,,,manufacturer,Padre Las Casas,,Av. Huichahue 175,no,0.66,https://explore.overturemaps.org/#60520b46-4492-4e67-b019-4feeeaaf409f
Civitas Plus,78.164.079-4,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56953499440,civitasplusspa@gmail.com,,https://www.facebook.com/738662625995158,,,education,Temuco,,Calle Manuel Bulnes 921,no,0.22,https://explore.overturemaps.org/#5998e36b-3d07-4431-aff5-650ade087db8
Kinesic Skin,77.217.268-0,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56453232613,kinesicskindepi@gmail.com,,https://www.facebook.com/633070653781641,,,chinese restaurant,Temuco,,Calle Claro Solar 835,no,0.803,https://explore.overturemaps.org/#3d1430ae-6f24-4f8f-b8c7-5166a9ed924d
Lex House,77.052.395-8,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56972961301,saezrodrigo22@gmail.com,,https://www.facebook.com/111589057373906,,,real estate agent,Temuco,,Avenida Arturo Prat 696,no,0.151,https://explore.overturemaps.org/#9f627067-904f-44e4-bbd2-20a6f06cc2f9
Optimedica,77.137.069-1,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56452216965,stephany.fuentesf@gmail.com,,https://www.facebook.com/1723933414387494,,,eyewear store,Temuco,,Avenida Arturo Prat 696,no,0.936,https://explore.overturemaps.org/#8f9aa4e2-e056-41ea-a164-d980fed048ea
Salón Musas SpA,77.214.724-4,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56983292973,salonmusastemuco@gmail.com,,https://www.facebook.com/109080767176358,,,beauty salon,Temuco,,Calle Vicuña Mackenna 678,no,0.982,https://explore.overturemaps.org/#e6b8b10c-18ee-4221-80ee-aff42f748501
Duodent,78.070.991-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56945943575,clinicaduodenttco@gmail.com,,https://www.facebook.com/436556589551154,,,,Temuco,,"Arturo Prat 350, Edificio Nexus, oficina 313",no,0.279,https://explore.overturemaps.org/#28a6fb09-4a25-4a7e-921e-dc0f1c481bdc
Clínica dental AB,77.218.441-7,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56966234332,rx.eypdental@gmail.com,,https://www.facebook.com/100495776115809,,,dental clinic,Temuco,,Avenida Arturo Prat 350,no,0.895,https://explore.overturemaps.org/#a7765c9c-3bef-474e-aae3-a563b02993f6
Optica Mawida,77.374.606-0,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56968608690,opticamawida@gmail.com,,https://www.facebook.com/110045368500342,,,event or party service,Temuco,,Calle Vicuña Mackenna 305,no,0.888,https://explore.overturemaps.org/#8ea0d7d3-4608-4cd8-bb67-93494eb82ab5
Clínica Odontológica Elyon,78.105.328-7,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56926454710,clinicadental.elyon@gmail.com,,https://www.facebook.com/527236403807850,,,dental clinic,Temuco,,Calle Manuel Bulnes 351,no,0.261,https://explore.overturemaps.org/#24cc1472-4a37-44fd-bc2f-de0ed33a713a
Optica Los Lentes,77.613.499-6,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56945837765,loslentessolg@gmail.com,,https://www.facebook.com/128412053679629,,,health care,Temuco,,Calle Diego Portales 854,no,0.272,https://explore.overturemaps.org/#efea8433-8e64-4fac-840f-f07035d5086a
Óptica Barbosa,78.354.122-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56964165410,opticabarbosa@gmail.com,,https://www.facebook.com/110399013934482,,,eyewear store,Temuco,,Calle Manuel Rodríguez 825,no,0.58,https://explore.overturemaps.org/#f07e3128-f3ef-4033-b2f7-91ee40c140c1
Tierra Santa dglm,77.799.912-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56940186769,tierrasantadglm@gmail.com,,https://www.facebook.com/176608666011303,,,naturopathic medicine,Temuco,,Manuel Bulnes 110,no,0.635,https://explore.overturemaps.org/#ea4b2a28-95fb-47b9-b9c5-e73e32e7bb89
Imprime Araucanía,78.074.472-3,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56959590138,imprimearaucania@gmail.com,,https://www.facebook.com/537978212726744,,,advertising agency,Temuco,,Calle Manuel Bulnes 307,no,0.247,https://explore.overturemaps.org/#931427d8-6d2f-4771-83d3-0c62c72d2d82
Botoneria  Temuco,77.305.608-0,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56452748865,jorgegope@gmail.com,,https://www.facebook.com/1621001731445982,,,arts and entertainment,Temuco,,Calle Diego Portales 949,no,0.839,https://explore.overturemaps.org/#1ae3f55d-e854-491e-94da-d4c71e830aab
Podología Temuco Margerin,77.027.408-7,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56961944435,contactopodotemuco@gmail.com,,https://www.facebook.com/480164172398019,,,professional service,Temuco,,Calle Manuel Montt 505,no,0.686,https://explore.overturemaps.org/#66434be7-0873-45f9-a2a0-9325f8a98021
Tonino Pizza,77.217.907-3,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56999867129,toninotemuco@gmail.com,,https://www.facebook.com/114466490267360,,,pizza restaurant,Temuco,,Calle Manuel Bulnes 368,no,0.591,https://explore.overturemaps.org/#1e996170-de00-427b-840e-6f3e5169bf06
More Agencia Creativa,78.408.533-3,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56998320084,alejandraxperiencie@hotmail.com,,https://www.facebook.com/2272816912985674,,,advertising agency,Temuco,,Temuco 450,no,0.041,https://explore.overturemaps.org/#618a266f-0c73-4ddd-9d0f-b43f4d869f77
Barbería las firmas,77.848.945-7,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56961646062,lopezluiscarlos5@gmail.com,,https://www.facebook.com/202375997222709,,,barber,Temuco,,Calle General Mackenna 766,no,0.845,https://explore.overturemaps.org/#bd700a20-54d1-44e7-b529-fa2de9853f9b
Consulta Dental Flores,77.723.344-0,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56954469729,consultadentalflores@gmail.com,,https://www.facebook.com/103002366093699,,,general dentistry,Temuco,,Calle Antonio Varas 989,no,0.486,https://explore.overturemaps.org/#fc53d4a3-a2a7-42b8-bb77-bbbcb4b263af
Venta de Articulos Daniela Belen Estrada Oporto,77.473.021-4,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56933531872,productoracyc.eirl@gmail.com,,https://www.facebook.com/105280417605421,,,costume store,Temuco,,Calle Manuel Rodríguez 1040,no,0.08,https://explore.overturemaps.org/#9f2c7268-9af0-4e25-9ee2-13ea88195657
Simbiosis boutique,77.216.693-1,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56975658002,simbiosistemuco@gmail.com,,https://www.facebook.com/100464518482991,,,fashion boutique,Temuco,,Calle Manuel Rodríguez 1040,no,0.336,https://explore.overturemaps.org/#73ac877a-f1db-402e-88f8-989d23edd7f8
Balma Express,78.340.286-6,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56972849225,gerant.locales@gmail.com,,https://www.facebook.com/317899398072298,,,restaurant,Temuco,,Calle General Aldunate 2,no,0.512,https://explore.overturemaps.org/#a5d51a16-fba4-45c0-8c40-5e57d73c7e3f
SICOFSA,78.343.751-1,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56971452289,sicofsaconstructora@gmail.com,,https://www.facebook.com/709056175633163,,,building or construction service,Temuco,,Avenida Balmaceda 1079,no,0.24,https://explore.overturemaps.org/#bfe1f194-ab67-4ee5-a001-51035f058e7e
Novena Repuestos,77.238.566-8,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56933985885,novena.repuestos@gmail.com,,https://www.facebook.com/106959058314821,,,auto company,Temuco,,Calle Lautaro 1160,no,0.541,https://explore.overturemaps.org/#992c2233-bfc9-4a8d-9572-6afcc6f451ba
Chile Frenos,78.083.862-0,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56452210905,fullfreno.temuco@gmail.com,,https://www.facebook.com/129536333858390,,,auto parts store,Temuco,,Calle General Cruz 401,no,0.644,https://explore.overturemaps.org/#ce2903c7-03ec-437d-9631-2b3938ff9f68
MOVAR Repuestos,77.746.233-4,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56963539106,movar.repuestos@gmail.com,,https://www.facebook.com/114135970455233,,,automotive service,Temuco,,zenteno 462,no,0.633,https://explore.overturemaps.org/#8d18555f-abc7-4152-bd3e-fcfbd2e68fcb
The Kapo's Barber Shop,78.355.431-3,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56971919523,decodrywolljlb@gmail.com,,https://www.facebook.com/444391606105526,,,barber,Temuco,,Calle General Cruz 266,no,0.875,https://explore.overturemaps.org/#49d5fa47-3322-4857-b091-fb70113cf78c
Móvil Express Temuco,77.178.358-9,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56967869729,movilexpresstemuco@gmail.com,,https://www.facebook.com/2145241255714606,,,mobile phone store,Temuco,,Avenida Arturo Prat 308,no,0.856,https://explore.overturemaps.org/#1fbed53a-77af-4c4f-a21e-382956b2e119
Versatek  Asesorías y Construcción,78.179.922-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56934427317,constructora.versatekspa@gmail.com,,https://www.facebook.com/594665270407142,,,building or construction service,Temuco,,Río Lauca 1113,no,0.281,https://explore.overturemaps.org/#9d4b2565-94cb-4b1f-b235-d2463f0dd9b6
Motosierras Cordillera,77.584.871-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56452741702,motosierras.cordillera@gmail.com,,https://www.facebook.com/2151135905164572,,,hardware store,Temuco,,Calle Lautaro 1302,no,0.967,https://explore.overturemaps.org/#7afa576a-cb45-4dee-8ac5-d77b4e2038ba
Mahanaim ropa americana spa,77.585.062-0,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56933537831,mahanaimropa77@gmail.com,,https://www.facebook.com/104877979025338,,,second hand store,Temuco,,Calle Manuel Rodríguez 1335,no,0.452,https://explore.overturemaps.org/#8a157bd2-717b-4c0b-b9a9-06276197797e
Bordar Temuco,77.518.201-6,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56992262136,bordartemuco@gmail.com,,https://www.facebook.com/779874402156774,,,,Temuco,,,no,0.071,https://explore.overturemaps.org/#c3eddaf6-658d-4285-8324-f0b4624370a7
Servicio Automotriz PRP,77.982.756-9,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56994425352,pabloricopaz0@gmail.com,,https://www.facebook.com/424078060792212,,,used auto dealer,Temuco,,Pasaje Liucura 1130,no,0.26,https://explore.overturemaps.org/#91fba709-15d0-4e8a-a324-5163fed28e5a
Gota Servicios Automotrices,77.079.814-0,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56956195620,gotaserviciosautomotrices@gmail.com,,https://www.facebook.com/119424529458534,,,machine shop,Temuco,,Avenida Caupolicán 1221,no,0.704,https://explore.overturemaps.org/#ff076641-7d56-4d10-8f3f-df2a02becd46
Frenos Le Naour,78.032.431-7,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56944565106,frenosnaour@gmail.com,,https://www.facebook.com/385240218557670,,,shopping,Temuco,,Avenida Caupolicán 1506,no,0.84,https://explore.overturemaps.org/#fa69ddd2-4f99-418b-a0b5-50fc46e2e8e3
Comercial Santa Bárbara ltda.,77.775.669-9,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56996410627,bbarrientos@surdent.cl,,https://www.facebook.com/189103561115714,,,shopping mall,Temuco,,"SALIDA SUR DE TEMUCO, KM 4",no,0.647,https://explore.overturemaps.org/#7c95a44f-9226-4e48-a818-7ff644277502
Neumacar,78.012.444-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56976590890,comercialneumacar@gmail.com,,https://www.facebook.com/336583643449878,,,tire dealer and repair,Temuco,,Avenida Rudecindo Ortega 01020,no,0.864,https://explore.overturemaps.org/#6bb58313-c683-45c7-b59c-93930186c4de
Sociedad Distribuidora Riffo Hermanos,78.281.745-0,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56920612219,riffohermanos@gmail.com,,https://www.facebook.com/977528942113497,,,food beverage distributor,Temuco,,Avenida Rudecindo Ortega 01002,no,0.269,https://explore.overturemaps.org/#c745ad10-cbbf-4d99-afb0-eab658c746af
Automoviles ARG,77.692.947-6,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56956834844,roxanafritz18@gmail.com,,https://www.facebook.com/929856686888101,,,used auto dealer,Temuco,,Avenida Caupolicán 01698,no,0.302,https://explore.overturemaps.org/#2741f2cb-fc14-4e37-8e61-30a86cdc1ce6
Desarmaduria Impacto,78.178.954-2,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56974777149,repuestosflorestremuco@gmail.com,,https://www.facebook.com/1548917512052794,,,auto parts store,Temuco,,Calle Orella 0815,no,0.799,https://explore.overturemaps.org/#fd5b938a-5155-4a60-967b-cd6a83fa0243
emporio_elena,77.151.816-8,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56990081660,mbustamantes2009@gmail.com,,https://www.facebook.com/110363600745877,,,shopping,Temuco,,Av. Barros Arana 05375,no,0.525,https://explore.overturemaps.org/#289d74a1-9435-4636-b4ac-78bc9f0d471f
Comercial Renacer SpA,78.089.908-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56987793756,comercialrenacer19@gmail.com,,https://www.facebook.com/100477608804624,,,building supply store,Temuco,,Calle República 992,no,0.736,https://explore.overturemaps.org/#a6109612-b280-4921-8dae-eeb5e17ddc91
El Fogón del Pollo,77.478.026-2,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56933137297,fogondelpolloantifil@gmail.com,,https://www.facebook.com/328030844556677,,,grocery store,Temuco,,Calle Antifil 0456,no,0.721,https://explore.overturemaps.org/#9532fa6a-2b2d-4bcb-acbd-9f602ce5fd77
Distribuidora Huevos del Sur,77.344.938-4,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56932374695,hdelsur.tco@gmail.com,,https://www.facebook.com/107302288279850,,,grocery store,Temuco,,"Camino a Cajon , Vega Modelo de Temuco",no,0.579,https://explore.overturemaps.org/#8b19f071-8b3e-4429-b734-156f1a87ef19
Holy sushi alcántara,78.061.741-1,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56950710600,holysushialcantara@gmail.com,,https://www.facebook.com/412137946248245,,,sushi restaurant,Temuco,,Avenida Barros Arana 04099,no,0.696,https://explore.overturemaps.org/#aa7e7daf-a04c-439f-a352-b0d8edcb8ff1
Clinica Odontologica Los Alerces,77.566.853-9,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56988926467,jose99pl@gmail.com,,https://www.facebook.com/776018232253262,,,dental clinic,Lautaro,,Calle Los Alerces 625,no,0.234,https://explore.overturemaps.org/#e459cb24-3d23-4992-aa4d-2e04b10bda7c
Maderas Poo,77.373.454-2,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56981805902,maderas.poo@gmail.com,,https://www.facebook.com/100939578232378,,,lumber store,Lautaro,,Calle Manuel Antonio Matta 1085,no,0.295,https://explore.overturemaps.org/#173a4da5-2d1f-47c1-836a-1e27b5f92363
Restaurante Alalao,78.380.165-5,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56930846086,redes.alalao@gmail.com,,https://www.facebook.com/283451465034200,,,restaurant,Lautaro,,Calle Pedro de Valdivia 311,no,0.974,https://explore.overturemaps.org/#ca869e05-73a7-4314-8da6-97446e9861c9
Todo Pinches,77.997.968-7,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56976525379,ms.ceciliamora@gmail.com,,https://www.facebook.com/1113936442099072,,,fashion accessories store,Lautaro,,Avenida Bernardo O'Higgins 828,no,0.796,https://explore.overturemaps.org/#6707aefb-456e-4de3-a2c8-a27d16f2159a
Comercial Changos,77.202.486-K,"probable (razon social + comuna, Registro de Empresas y Sociedades)",+56961524269,comercialchangos@gmail.com,,https://www.facebook.com/105583004515616,,,auto parts store,Lautaro,,,no,0.896,https://explore.overturemaps.org/#9a85121f-6ff7-4ad4-96d2-1954f40ac3ac
